Stock_Symbol,RMSE
TATASTEEL,0.90
ONGC,1.44
WIPRO,1.44
POWERGRID,1.56
BPCL,1.76
NTPC,1.82
ITC,1.96
COALINDIA,2.55
HINDALCO,3.92
SBIN,4.03
HDFCBANK,4.14
BAJFINANCE,5.09
JSWSTEEL,5.13
HDFCLIFE,5.21
TATACONSUM,5.57
TATAMOTORS,5.65
ICICIBANK,6.10
AXISBANK,6.22
NESTLEIND,6.47
BHARTIARTL,6.82
CIPLA,6.85
RELIANCE,6.91
DRREDDY,6.95
SUNPHARMA,7.61
HCLTECH,7.77
INFY,7.84
TECHM,8.61
ADANIPORTS,9.49
BAJAJFINSV,10.42
SBILIFE,10.45
INDUSINDBK,11.68
KOTAKBANK,11.95
GRASIM,12.73
HINDUNILVR,14.03
M&M,14.89
LT,14.98
ASIANPAINT,15.11
TITAN,16.73
TCS,19.47
EICHERMOT,25.75
DIVISLAB,27.08
BRITANNIA,27.42
HEROMOTOCO,27.96
ADANIENT,28.62
APOLLOHOSP,30.46
LTIM,39.22
ULTRACEMCO,51.39
MARUTI,56.41
BAJAJ-AUTO,60.06